IP,Software,Subnet
10.3.55.208,Debian APT-HTTP/1.3 (2.0.2ubuntu0.2) non-interactive,CY355
10.3.94.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:106.0) Gecko/20100101 Firefox/106.0,K8S Load Balancer
10.4.83.71,Microsoft-CryptoAPI/10.0,CS483
10.4.83.59,Microsoft-CryptoAPI/10.0,CS483
10.4.83.55,Microsoft-CryptoAPI/10.0,CS483
10.4.84.141,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0,CS484
10.10.3.12,Microsoft-Delivery-Optimization/10.0,EECSNet Users
10.10.2.17,Transparent%20network%20proxy%20for%20Apple%20system%20services (unknown version) CFNetwork/1404.0.5 Darwin/22.3.0,EECSNet Users
10.10.2.17,Transparent%20network%20proxy%20for%20Apple%20system%20services (unknown version) CFNetwork/1404.0.5 Darwin/22.3.0,EECSNet Users (Wireless)
10.10.3.12,Microsoft-Delivery-Optimization/10.0,EECSNet Users (Wired)
10.19.89.6,Windows-Update-Agent/10.0.10011.16384 Client-Protocol/2.33,Data Center
10.100.15.29,Microsoft NCSI,Capstones
10.100.15.29,Microsoft NCSI,Cadet Malware Research (MAJ Duby)
